load word frequency mapping - complete
loaded tensor torch.Size([798949912])
loaded tensor torch.Size([30301027, 2])
#sentences 30301027
load train data - complete
#sentences 6073
load test data - complete
Batch Size: 1024 Initial LR: 0.0005
Random Initialization - No Saved Model
Epoch:   1 |  7000/39011 batches | lr 0.000482 | ms/batch 540.28 | loss  4.04 | ppl    56.93
Epoch:   1 |  7125/39011 batches | lr 0.000482 | ms/batch 536.54 | loss  4.01 | ppl    55.26
Epoch:   1 |  7250/39011 batches | lr 0.000481 | ms/batch 527.15 | loss  4.01 | ppl    55.28
Epoch:   1 |  7375/39011 batches | lr 0.000481 | ms/batch 539.35 | loss  3.99 | ppl    54.12
Epoch:   1 |  7500/39011 batches | lr 0.000481 | ms/batch 541.17 | loss  4.00 | ppl    54.73
Epoch:   1 |  7625/39011 batches | lr 0.000480 | ms/batch 548.99 | loss  3.98 | ppl    53.67
Epoch:   1 |  7750/39011 batches | lr 0.000480 | ms/batch 526.15 | loss  4.02 | ppl    55.49
Epoch:   1 |  7875/39011 batches | lr 0.000480 | ms/batch 541.64 | loss  4.00 | ppl    54.38
Epoch:   1 |  8000/39011 batches | lr 0.000479 | ms/batch 545.42 | loss  4.05 | ppl    57.32
Epoch:   1 |  8125/39011 batches | lr 0.000479 | ms/batch 534.54 | loss  4.02 | ppl    55.89
Epoch:   1 |  8250/39011 batches | lr 0.000479 | ms/batch 552.72 | loss  3.97 | ppl    52.86
Epoch:   1 |  8375/39011 batches | lr 0.000479 | ms/batch 521.58 | loss  3.97 | ppl    52.83
Epoch:   1 |  8500/39011 batches | lr 0.000478 | ms/batch 538.90 | loss  4.03 | ppl    56.28
Epoch:   1 |  8625/39011 batches | lr 0.000478 | ms/batch 545.41 | loss  3.98 | ppl    53.68
Epoch:   1 |  8750/39011 batches | lr 0.000478 | ms/batch 527.69 | loss  3.98 | ppl    53.30
Epoch:   1 |  8875/39011 batches | lr 0.000477 | ms/batch 538.47 | loss  3.99 | ppl    54.09
Epoch:   1 |  9000/39011 batches | lr 0.000477 | ms/batch 552.92 | loss  3.97 | ppl    53.13
Epoch:   1 |  9125/39011 batches | lr 0.000477 | ms/batch 549.40 | loss  3.94 | ppl    51.56
Epoch:   1 |  9250/39011 batches | lr 0.000476 | ms/batch 549.24 | loss  3.97 | ppl    53.16
Epoch:   1 |  9375/39011 batches | lr 0.000476 | ms/batch 561.59 | loss  3.94 | ppl    51.18
Epoch:   1 |  9500/39011 batches | lr 0.000476 | ms/batch 551.04 | loss  3.96 | ppl    52.32
Epoch:   1 |  9625/39011 batches | lr 0.000475 | ms/batch 561.89 | loss  3.96 | ppl    52.40
Epoch:   1 |  9750/39011 batches | lr 0.000475 | ms/batch 559.32 | loss  3.94 | ppl    51.19
Epoch:   1 |  9875/39011 batches | lr 0.000475 | ms/batch 562.53 | loss  3.96 | ppl    52.39
Epoch:   1 | 10000/39011 batches | lr 0.000474 | ms/batch 568.94 | loss  3.95 | ppl    52.06
Epoch:   1 | 10125/39011 batches | lr 0.000474 | ms/batch 560.45 | loss  3.94 | ppl    51.45
Epoch:   1 | 10250/39011 batches | lr 0.000474 | ms/batch 550.96 | loss  3.92 | ppl    50.21
Epoch:   1 | 10375/39011 batches | lr 0.000473 | ms/batch 556.29 | loss  3.92 | ppl    50.36
Epoch:   1 | 10500/39011 batches | lr 0.000473 | ms/batch 561.37 | loss  3.96 | ppl    52.58
Epoch:   1 | 10625/39011 batches | lr 0.000473 | ms/batch 552.09 | loss  3.97 | ppl    53.20
